EventId,TeamId,MatchId,PlayerId,GameTime,X,Y,X_rec,Y_rec,Evaluation,IsCross,IsCorner,InGameSection,NumDefInBox,NumAttInBox,ScoreHome,ScoreGuest,MatchStateForTeam,AnyRedBeforeCross,RedForOwnTeam,RedForOppTeam,ShotEventId,ShotPlayerId,ShotGameTime,ShotTimeSec,ShotX,ShotY,ShotxG,ShotResult,ShotInGameSection,ShotNumDefInBox,ShotNumAttInBox
18702700000251,DFL-CLU-00000F,DFL-MAT-J040B7,DFL-OBJ-J01DJJ,017:28:16,-36.08,-26.54,-43.59,4.24,successfullyCompleted,True,False,firstHalf,8.0,5.0,1,2,losing,False,False,False,18702700000253,DFL-OBJ-002GKG,017:30:00,1050.0,-43.7,4.35,0.0772,shotWide,firstHalf,9.0,6.0
18702700000973,DFL-CLU-00000F,DFL-MAT-J040B7,DFL-OBJ-002GKG,065:08:31,47.51,-23.41,47.52,1.82,successfullyCompleted,True,False,secondHalf,6.0,4.0,1,2,losing,False,False,False,18702700000975,DFL-OBJ-J01LMN,065:09:59,3909.59,47.59,1.63,0.4093,shotWide,secondHalf,7.0,4.0
18702400000783,DFL-CLU-00000B,DFL-MAT-J040B4,DFL-OBJ-002GOI,049:32:32,47.52,-24.92,46.53,-5.93,successfullyCompleted,True,False,firstHalf,7.0,4.0,1,2,losing,False,False,False,18702400000786,DFL-OBJ-J01KDN,049:33:23,2973.23,46.62,-6.03,0.0755,shotWoodWork,firstHalf,8.0,4.0
18702600000316,DFL-CLU-00000G,DFL-MAT-J040B6,DFL-OBJ-J01R3R,015:40:39,-39.6,19.9,-47.32,-9.12,successfullyCompleted,True,False,firstHalf,9.0,5.0,0,0,drawing,False,False,False,18702600000319,DFL-OBJ-J00ZZ3,015:42:32,942.32,-47.25,-9.24,0.042,savedShot,firstHalf,10.0,6.0
18702600000795,DFL-CLU-000004,DFL-MAT-J040B6,DFL-OBJ-J01D4G,043:15:48,35.98,20.4,44.02,-3.86,successfullyCompleted,True,False,firstHalf,6.0,3.0,1,0,losing,False,False,False,18702600000797,DFL-OBJ-0001HG,043:17:19,2597.19,44.3,-4.22,0.0706,savedShot,firstHalf,7.0,4.0
18702800000861,DFL-CLU-00000E,DFL-MAT-J040B8,DFL-OBJ-0000YO,045:14:00,-29.96,31.01,-41.99,5.43,unsuccessful,True,False,secondHalf,0.0,0.0,0,0,drawing,False,False,False,18702800000866,DFL-OBJ-002FZO,045:20:28,2720.28,-44.41,-8.52,0.1563,shotWide,secondHalf,8.0,6.0
18702800001222,DFL-CLU-00000E,DFL-MAT-J040B8,DFL-OBJ-0000YO,065:47:68,-28.97,21.7,-40.33,6.48,successfullyCompleted,True,False,secondHalf,0.0,0.0,0,0,drawing,False,False,False,18702800001223,DFL-OBJ-0001CE,065:49:11,3949.11,-40.96,6.57,0.0709,savedShot,secondHalf,5.0,1.0
18702800001375,DFL-CLU-000017,DFL-MAT-J040B8,DFL-OBJ-J01DOV,074:46:88,51.42,19.63,50.44,18.13,unsuccessful,True,False,secondHalf,7.0,5.0,0,0,drawing,False,False,False,18702800001378,DFL-OBJ-0002F6,074:51:39,4491.39,37.03,0.66,0.0793,savedShot,secondHalf,7.0,3.0
18702800001566,DFL-CLU-00000E,DFL-MAT-J040B8,DFL-OBJ-002FX2,088:34:23,-44.92,30.47,-48.26,-4.5,successfullyCompleted,True,False,secondHalf,3.0,5.0,0,0,drawing,False,False,False,18702800001615,DFL-OBJ-J01C07,088:36:44,5316.44,-48.44,-4.63,0.223,blockedShot,secondHalf,7.0,5.0
18703000000337,DFL-CLU-00000V,DFL-MAT-J040BA,DFL-OBJ-J021ZE,018:16:92,43.39,30.53,45.48,2.41,unsuccessful,True,False,firstHalf,3.0,2.0,0,1,losing,False,False,False,18703000000340,DFL-OBJ-0002FX,018:21:16,1101.16,41.46,-15.32,0.0658,savedShot,firstHalf,8.0,5.0
