season,league,match_id,crosses_openplay,shot_links,share_links_per_cross
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQT,15,2,0.13333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQU,32,8,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQV,22,5,0.22727272727272727
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQW,18,4,0.2222222222222222
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQX,23,8,0.34782608695652173
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQY,15,5,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQZ,20,9,0.45
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR0,12,4,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR1,21,5,0.23809523809523808
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR2,18,2,0.1111111111111111
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR3,14,4,0.2857142857142857
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR4,23,7,0.30434782608695654
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR5,19,4,0.21052631578947367
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR6,21,1,0.047619047619047616
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR7,25,5,0.2
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR8,20,6,0.3
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YR9,19,0,0.0
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRA,18,5,0.2777777777777778
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRB,23,5,0.21739130434782608
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRC,17,7,0.4117647058823529
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRD,21,4,0.19047619047619047
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRE,12,5,0.4166666666666667
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRF,18,5,0.2777777777777778
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRG,18,5,0.2777777777777778
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRH,25,6,0.24
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRI,14,0,0.0
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YRJ,14,5,0.35714285714285715
